"","source","target"
"16637","Simple Assault","Shoplifting"
"16638","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16639","Simple Assault","All Other Larceny"
"16640","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"16641","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16642","Theft From Building","Shoplifting"
"16643","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16644","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16645","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16646","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"16647","Destruction/Damage/Vandalism of Property","Simple Assault"
"16648","Aggravated Assault","Weapon Law Violations"
"16649","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16650","Drug/Narcotic Violations","Stolen Property Offenses"
"16651","Drug/Narcotic Violations","Weapon Law Violations"
"16652","Stolen Property Offenses","Weapon Law Violations"
"16653","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16654","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16655","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16656","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16657","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16658","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16659","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16660","Drug/Narcotic Violations","Simple Assault"
"16661","Drug/Narcotic Violations","Aggravated Assault"
"16662","Simple Assault","Aggravated Assault"
"16663","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"16664","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16665","Simple Assault","Shoplifting"
"16666","Weapon Law Violations","Motor Vehicle Theft"
"16667","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16668","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16669","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16670","Simple Assault","All Other Larceny"
"16671","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16672","Aggravated Assault","All Other Larceny"
"16673","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16674","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16675","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16676","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16677","Aggravated Assault","Weapon Law Violations"
"16678","Aggravated Assault","All Other Larceny"
"16679","Aggravated Assault","Stolen Property Offenses"
"16680","Weapon Law Violations","All Other Larceny"
"16681","Weapon Law Violations","Stolen Property Offenses"
"16682","All Other Larceny","Stolen Property Offenses"
"16683","Simple Assault","Destruction/Damage/Vandalism of Property"
"16684","Theft From Building","Intimidation"
"16685","Simple Assault","Weapon Law Violations"
"16686","Identity Theft","All Other Larceny"
"16687","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16688","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"16689","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16690","Simple Assault","Motor Vehicle Theft"
"16691","Simple Assault","Theft From Motor Vehicle"
"16692","Motor Vehicle Theft","Theft From Motor Vehicle"
"16693","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16694","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16695","Aggravated Assault","All Other Larceny"
"16696","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16697","Simple Assault","Destruction/Damage/Vandalism of Property"
"16698","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16699","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16700","Destruction/Damage/Vandalism of Property","All Other Larceny"
"16701","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16702","Destruction/Damage/Vandalism of Property","All Other Larceny"
"16703","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16704","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16705","All Other Larceny","Intimidation"
"16706","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"16707","Drug/Narcotic Violations","Weapon Law Violations"
"16708","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16709","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"16710","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16711","Destruction/Damage/Vandalism of Property","Theft From Building"
"16712","Destruction/Damage/Vandalism of Property","Intimidation"
"16713","Stolen Property Offenses","Robbery"
"16714","Destruction/Damage/Vandalism of Property","Simple Assault"
"16715","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16716","Burglary/Breaking & Entering","All Other Larceny"
"16717","Destruction/Damage/Vandalism of Property","Intimidation"
"16718","Credit Card/Automated Teller Machine Fraud","Motor Vehicle Theft"
"16719","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"16720","Motor Vehicle Theft","All Other Larceny"
"16721","Destruction/Damage/Vandalism of Property","Simple Assault"
"16722","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16723","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16724","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"16725","Destruction/Damage/Vandalism of Property","Simple Assault"
"16726","All Other Larceny","Intimidation"
"16727","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16728","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16729","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16730","Destruction/Damage/Vandalism of Property","Simple Assault"
"16731","Motor Vehicle Theft","Theft From Building"
"16732","Intimidation","Destruction/Damage/Vandalism of Property"
"16733","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16734","Destruction/Damage/Vandalism of Property","Credit Card/Automated Teller Machine Fraud"
"16735","Destruction/Damage/Vandalism of Property","Credit Card/Automated Teller Machine Fraud"
"16736","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16737","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16738","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"16739","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"16740","Simple Assault","Theft From Motor Vehicle"
"16741","All Other Larceny","Intimidation"
"16742","Destruction/Damage/Vandalism of Property","Simple Assault"
"16743","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16744","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16745","Destruction/Damage/Vandalism of Property","Simple Assault"
"16746","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"16747","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16748","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16749","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16750","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16751","Weapon Law Violations","Robbery"
"16752","Destruction/Damage/Vandalism of Property","Robbery"
"16753","Motor Vehicle Theft","All Other Larceny"
"16754","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16755","Motor Vehicle Theft","Theft From Motor Vehicle"
"16756","Simple Assault","Destruction/Damage/Vandalism of Property"
"16757","All Other Larceny","Simple Assault"
"16758","Aggravated Assault","Weapon Law Violations"
"16759","Destruction/Damage/Vandalism of Property","Simple Assault"
"16760","Weapon Law Violations","Robbery"
"16761","Motor Vehicle Theft","Simple Assault"
"16762","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16763","Destruction/Damage/Vandalism of Property","Simple Assault"
"16764","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16765","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16766","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16767","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16768","Stolen Property Offenses","Counterfeiting/Forgery"
"16769","Simple Assault","Destruction/Damage/Vandalism of Property"
"16770","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16771","All Other Larceny","Simple Assault"
"16772","All Other Larceny","Shoplifting"
"16773","Intimidation","Shoplifting"
"16774","All Other Larceny","Simple Assault"
"16775","All Other Larceny","Simple Assault"
"16776","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16777","Simple Assault","Destruction/Damage/Vandalism of Property"
"16778","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16779","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16780","All Other Larceny","False Pretenses/Swindle/Confidence Game"
"16781","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16782","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16783","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16784","Theft From Motor Vehicle","Credit Card/Automated Teller Machine Fraud"
"16785","Burglary/Breaking & Entering","Simple Assault"
"16786","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16787","Counterfeiting/Forgery","Destruction/Damage/Vandalism of Property"
"16788","Aggravated Assault","Weapon Law Violations"
"16789","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"16790","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16791","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16792","Weapon Law Violations","Drug/Narcotic Violations"
"16793","Stolen Property Offenses","Counterfeiting/Forgery"
"16794","All Other Larceny","Simple Assault"
"16795","Aggravated Assault","Weapon Law Violations"
"16796","Simple Assault","Destruction/Damage/Vandalism of Property"
"16797","Weapon Law Violations","Intimidation"
"16798","Drug/Narcotic Violations","Intimidation"
"16799","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16800","Simple Assault","Destruction/Damage/Vandalism of Property"
"16801","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16802","Simple Assault","Intimidation"
"16803","All Other Larceny","Simple Assault"
"16804","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16805","Simple Assault","Destruction/Damage/Vandalism of Property"
"16806","Identity Theft","Destruction/Damage/Vandalism of Property"
"16807","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16808","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16809","All Other Larceny","Drug/Narcotic Violations"
"16810","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"16811","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16812","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16813","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16814","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"16815","Motor Vehicle Theft","All Other Larceny"
"16816","Drug/Narcotic Violations","Counterfeiting/Forgery"
"16817","Drug/Narcotic Violations","Weapon Law Violations"
"16818","Counterfeiting/Forgery","Weapon Law Violations"
"16819","Drug/Narcotic Violations","Weapon Law Violations"
"16820","Intimidation","Drug/Narcotic Violations"
"16821","Intimidation","Weapon Law Violations"
"16822","Drug/Narcotic Violations","Weapon Law Violations"
"16823","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16824","Simple Assault","Destruction/Damage/Vandalism of Property"
"16825","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"16826","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16827","Simple Assault","Destruction/Damage/Vandalism of Property"
"16828","Intimidation","Destruction/Damage/Vandalism of Property"
"16829","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"16830","Murder and Nonnegligent Manslaughter","Destruction/Damage/Vandalism of Property"
"16831","Stolen Property Offenses","Counterfeiting/Forgery"
"16832","Stolen Property Offenses","Weapon Law Violations"
"16833","Counterfeiting/Forgery","Weapon Law Violations"
"16834","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16835","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16836","All Other Larceny","Simple Assault"
"16837","Robbery","Weapon Law Violations"
"16838","Simple Assault","Destruction/Damage/Vandalism of Property"
"16839","Theft From Building","Weapon Law Violations"
"16840","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16841","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16842","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"16843","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16844","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16845","All Other Larceny","Drug/Narcotic Violations"
"16846","Simple Assault","Destruction/Damage/Vandalism of Property"
"16847","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16848","Destruction/Damage/Vandalism of Property","Theft From Building"
"16849","All Other Larceny","Simple Assault"
"16850","Simple Assault","Destruction/Damage/Vandalism of Property"
"16851","Drug/Narcotic Violations","Weapon Law Violations"
"16852","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16853","Simple Assault","Drug/Narcotic Violations"
"16854","Intimidation","Motor Vehicle Theft"
"16855","Fondling","Weapon Law Violations"
"16856","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16857","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16858","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16859","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"16860","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"16861","Weapon Law Violations","Aggravated Assault"
"16862","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"16863","Intimidation","Simple Assault"
"16864","Aggravated Assault","All Other Larceny"
"16865","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16866","Simple Assault","Destruction/Damage/Vandalism of Property"
"16867","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16868","Simple Assault","Destruction/Damage/Vandalism of Property"
"16869","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"16870","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16871","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16872","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16873","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16874","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16875","Motor Vehicle Theft","Theft From Building"
"16876","Simple Assault","Destruction/Damage/Vandalism of Property"
"16877","False Pretenses/Swindle/Confidence Game","Stolen Property Offenses"
"16878","False Pretenses/Swindle/Confidence Game","Counterfeiting/Forgery"
"16879","False Pretenses/Swindle/Confidence Game","Identity Theft"
"16880","Stolen Property Offenses","Counterfeiting/Forgery"
"16881","Stolen Property Offenses","Identity Theft"
"16882","Counterfeiting/Forgery","Identity Theft"
"16883","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16884","Intimidation","Destruction/Damage/Vandalism of Property"
"16885","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16886","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16887","Weapon Law Violations","Drug/Narcotic Violations"
"16888","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16889","All Other Larceny","Simple Assault"
"16890","False Pretenses/Swindle/Confidence Game","Simple Assault"
"16891","Destruction/Damage/Vandalism of Property","Simple Assault"
"16892","All Other Larceny","Motor Vehicle Theft"
"16893","All Other Larceny","Simple Assault"
"16894","Motor Vehicle Theft","Theft From Motor Vehicle"
"16895","Weapon Law Violations","Drug/Narcotic Violations"
"16896","Destruction/Damage/Vandalism of Property","Intimidation"
"16897","Destruction/Damage/Vandalism of Property","Theft From Building"
"16898","Destruction/Damage/Vandalism of Property","Simple Assault"
"16899","Theft From Building","Simple Assault"
"16900","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16901","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16902","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16903","Weapon Law Violations","Intimidation"
"16904","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16905","Theft From Motor Vehicle","Credit Card/Automated Teller Machine Fraud"
"16906","All Other Larceny","Intimidation"
"16907","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16908","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16909","Destruction/Damage/Vandalism of Property","Simple Assault"
"16910","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16911","Simple Assault","Destruction/Damage/Vandalism of Property"
"16912","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16913","Weapon Law Violations","Drug/Narcotic Violations"
"16914","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16915","False Pretenses/Swindle/Confidence Game","Theft From Building"
"16916","All Other Larceny","Intimidation"
"16917","Intimidation","Aggravated Assault"
"16918","Theft From Motor Vehicle","Credit Card/Automated Teller Machine Fraud"
"16919","Weapon Law Violations","Drug/Narcotic Violations"
"16920","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"16921","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16922","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16923","All Other Larceny","Simple Assault"
"16924","Destruction/Damage/Vandalism of Property","Intimidation"
"16925","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16926","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16927","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16928","Theft From Building","Destruction/Damage/Vandalism of Property"
"16929","False Pretenses/Swindle/Confidence Game","Identity Theft"
"16930","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16931","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16932","Theft From Motor Vehicle","Identity Theft"
"16933","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16934","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16935","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16936","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"16937","All Other Larceny","Simple Assault"
"16938","Destruction/Damage/Vandalism of Property","Simple Assault"
"16939","Weapon Law Violations","Stolen Property Offenses"
"16940","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16941","Weapon Law Violations","Intimidation"
"16942","Shoplifting","Intimidation"
"16943","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16944","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16945","Weapon Law Violations","Drug/Narcotic Violations"
"16946","Destruction/Damage/Vandalism of Property","Simple Assault"
"16947","Drug Equipment Violations","Drug/Narcotic Violations"
"16948","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16949","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16950","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16951","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16952","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16953","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16954","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16955","Drug/Narcotic Violations","All Other Larceny"
"16956","Weapon Law Violations","Intimidation"
"16957","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16958","All Other Larceny","Simple Assault"
"16959","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16960","All Other Larceny","Simple Assault"
"16961","Destruction/Damage/Vandalism of Property","Simple Assault"
"16962","All Other Larceny","Shoplifting"
"16963","All Other Larceny","Simple Assault"
"16964","Shoplifting","Simple Assault"
"16965","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16966","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16967","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16968","Destruction/Damage/Vandalism of Property","Intimidation"
"16969","Weapon Law Violations","Drug/Narcotic Violations"
"16970","Destruction/Damage/Vandalism of Property","Simple Assault"
"16971","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"16972","Destruction/Damage/Vandalism of Property","Simple Assault"
"16973","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16974","Weapon Law Violations","Aggravated Assault"
"16975","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16976","Theft From Building","Intimidation"
"16977","Weapon Law Violations","Drug/Narcotic Violations"
"16978","Destruction/Damage/Vandalism of Property","Simple Assault"
"16979","False Pretenses/Swindle/Confidence Game","Extortion/Blackmail"
"16980","Motor Vehicle Theft","Theft From Motor Vehicle"
"16981","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16982","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"16983","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"16984","Theft From Building","Simple Assault"
"16985","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16986","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16987","Simple Assault","Intimidation"
"16988","Drug/Narcotic Violations","Simple Assault"
"16989","Simple Assault","Destruction/Damage/Vandalism of Property"
"16990","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16991","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"16992","All Other Larceny","Destruction/Damage/Vandalism of Property"
"16993","Simple Assault","Destruction/Damage/Vandalism of Property"
"16994","Weapon Law Violations","Drug/Narcotic Violations"
"16995","Simple Assault","Destruction/Damage/Vandalism of Property"
"16996","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16997","Burglary/Breaking & Entering","Motor Vehicle Theft"
"16998","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"16999","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"17000","All Other Larceny","Simple Assault"
"17001","Burglary/Breaking & Entering","Motor Vehicle Theft"
"17002","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17003","Burglary/Breaking & Entering","Simple Assault"
"17004","Motor Vehicle Theft","Theft of Motor Vehicle Parts or Accessories"
"17005","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17006","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17007","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17008","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17009","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17010","Aggravated Assault","Weapon Law Violations"
"17011","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"17012","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17013","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17014","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17015","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"17016","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17017","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17018","Theft From Building","Simple Assault"
"17019","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17020","Theft From Building","Simple Assault"
"17021","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17022","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17023","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"17024","Drug/Narcotic Violations","Betting/Wagering"
"17025","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17026","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"17027","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"17028","Simple Assault","Destruction/Damage/Vandalism of Property"
"17029","Drug/Narcotic Violations","Weapon Law Violations"
"17030","Credit Card/Automated Teller Machine Fraud","Motor Vehicle Theft"
"17031","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17032","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"17033","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17034","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"17035","Weapon Law Violations","Drug/Narcotic Violations"
"17036","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17037","All Other Larceny","Weapon Law Violations"
"17038","All Other Larceny","Simple Assault"
"17039","Weapon Law Violations","Simple Assault"
"17040","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17041","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17042","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17043","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17044","All Other Larceny","Sodomy"
"17045","Simple Assault","Destruction/Damage/Vandalism of Property"
"17046","Simple Assault","Intimidation"
"17047","Intimidation","Shoplifting"
"17048","All Other Larceny","Destruction/Damage/Vandalism of Property"
"17049","Destruction/Damage/Vandalism of Property","Theft From Building"
"17050","All Other Larceny","Simple Assault"
"17051","Intimidation","Destruction/Damage/Vandalism of Property"
"17052","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17053","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17054","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17055","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17056","Theft From Building","Simple Assault"
"17057","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17058","Weapon Law Violations","Stolen Property Offenses"
"17059","Motor Vehicle Theft","Theft From Motor Vehicle"
"17060","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17061","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17062","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17063","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17064","Destruction/Damage/Vandalism of Property","Simple Assault"
"17065","Intimidation","Destruction/Damage/Vandalism of Property"
"17066","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17067","All Other Larceny","Simple Assault"
"17068","Aggravated Assault","Simple Assault"
"17069","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17070","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17071","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17072","Destruction/Damage/Vandalism of Property","Simple Assault"
"17073","Destruction/Damage/Vandalism of Property","Simple Assault"
"17074","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17075","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17076","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17077","Destruction/Damage/Vandalism of Property","Credit Card/Automated Teller Machine Fraud"
"17078","Theft From Motor Vehicle","Credit Card/Automated Teller Machine Fraud"
"17079","Destruction/Damage/Vandalism of Property","Simple Assault"
"17080","Destruction/Damage/Vandalism of Property","Simple Assault"
"17081","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17082","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17083","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17084","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17085","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17086","Weapon Law Violations","Drug/Narcotic Violations"
"17087","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17088","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17089","Destruction/Damage/Vandalism of Property","Simple Assault"
"17090","All Other Larceny","Motor Vehicle Theft"
"17091","Intimidation","Theft From Motor Vehicle"
"17092","Motor Vehicle Theft","Theft From Motor Vehicle"
