"","source","target"
"322","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"323","All Other Larceny","Simple Assault"
"324","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"325","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"326","Simple Assault","Destruction/Damage/Vandalism of Property"
"327","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"328","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"329","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"330","Stolen Property Offenses","Robbery"
"331","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"332","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"333","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"334","Weapon Law Violations","Drug/Narcotic Violations"
"335","Destruction/Damage/Vandalism of Property","All Other Larceny"
"336","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"337","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"338","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"339","Simple Assault","Kidnapping/Abduction"
"340","Drug Equipment Violations","Drug/Narcotic Violations"
"341","Simple Assault","Drug Equipment Violations"
"342","Simple Assault","Drug/Narcotic Violations"
"343","Drug Equipment Violations","Drug/Narcotic Violations"
"344","Robbery","Destruction/Damage/Vandalism of Property"
"345","False Pretenses/Swindle/Confidence Game","Drug/Narcotic Violations"
"346","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"347","Aggravated Assault","Simple Assault"
"348","Simple Assault","Destruction/Damage/Vandalism of Property"
"349","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"350","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"351","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"352","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"353","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"354","Theft of Motor Vehicle Parts or Accessories","Theft From Motor Vehicle"
"355","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"356","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"357","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"358","All Other Larceny","Intimidation"
