data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,146396369,146706653,7,,
2021,146396230,146706469,4,,
2021,146392083,146701511,7,,
2021,146392387,146701873,4,,
2021,146392098,146701533,4,,
2021,144471679,144485242,7,,
2021,146392448,146701942,4,,
2021,146392449,146701942,7,,
2021,146392382,146701868,4,,
2021,146392383,146701868,7,,
2021,145296852,145432365,7,,
2021,146392258,146701726,4,,
2021,146392259,146701726,7,,
2021,146392457,146701954,7,,
2021,146392604,146702140,7,,
2021,146392111,146701550,7,,
2021,146392313,146701791,7,,
2021,146392169,146701622,7,,
2021,146393308,146702990,7,,
2021,146392337,146701823,1,,
2021,146392202,146701661,7,,
2021,146392251,146701718,4,,
2021,146392252,146701718,7,,
2021,146392408,146701896,4,,
2021,146392336,146701821,7,,
2021,146392884,146702493,4,,
2021,146392465,146701963,7,,
2021,146393131,146702779,4,,
2021,146392247,146701713,7,,
2021,146392273,146701743,4,,
2021,146392274,146701743,7,,
2021,146393067,146702709,4,,
2021,146393068,146702709,7,,
2021,146392084,146701512,7,,
2021,146392161,146701611,4,,
2021,146392800,146702384,7,,
2021,146392086,146701514,4,,
2021,146392738,146702311,7,,
2021,146392175,146701632,4,,
2021,146392610,146702147,7,,
2021,146392223,146701688,4,,
2021,146392224,146701688,7,,
2021,146392915,146702526,4,,
2021,146392739,146702313,5,,
2021,146392740,146702313,7,,
2021,146392389,146701875,4,,
2021,146392134,146701578,4,,
2021,146392412,146701901,4,,
2021,150016292,150921286,1,,
2021,146392203,146701662,7,,
2021,146392078,146701498,7,,
2021,146392565,146702097,4,,
2021,146392566,146702097,7,,
2021,150016624,150921675,1,,
2021,146392268,146701737,7,,
2021,146393099,146702740,4,,
2021,146393100,146702740,7,,
2021,150016146,150921129,1,,
2021,146392796,146702381,4,,
2021,150016407,150921417,1,,
2021,146392196,146701656,7,,
2021,146392127,146701568,4,,
2021,146392329,146701813,7,,
2021,146392480,146701981,4,,
2021,146392779,146702359,7,,
2021,146396108,146706304,4,,
2021,146396109,146706304,5,,
2021,146396110,146706304,7,,
2021,146396278,146706533,4,,
2021,146392159,146701609,4,,
2021,150016435,150921447,1,,
2021,146396270,146706523,6,,
2021,146392830,146702422,4,,
2021,146392043,146701465,4,,
2021,146392194,146701653,1,,
2021,146392151,146701600,4,,
2021,146392152,146701600,7,,
2021,146392081,146701508,4,,
2021,146392137,146701582,4,,
2021,146392138,146701582,5,,
2021,146392139,146701582,7,,
2021,146392668,146702222,4,,
2021,146392309,146701785,7,,
2021,146392068,146701490,4,,
2021,146392069,146701490,7,,
2021,146392300,146701776,4,,
2021,150016287,150921279,7,,
2021,146392132,146701574,4,,
2021,146393180,146702839,4,,
2021,146392335,146701820,4,,
2021,146392328,146701812,4,,
2021,146392342,146701827,4,,
2021,146392343,146701827,7,,
2021,146392784,146702364,4,,
2021,146395726,146705836,7,,
2021,146392154,146701602,6,,
2021,146392082,146701510,4,,
2021,146392061,146701481,7,1,
2021,146392255,146701723,7,,
2021,146392037,146701458,7,,
2021,146392166,146701617,4,,
2021,143167635,142965373,7,,
2021,146392946,146702564,7,,
2021,146392034,146701456,4,,
2021,146392035,146701456,7,,
2021,146392192,146701649,7,,
2021,146392185,146701643,4,,
2021,146392186,146701643,7,,
2021,146392626,146702169,7,,
2021,146396402,146706689,7,,
2021,146392076,146701497,4,,
2021,146392077,146701497,7,,
2021,146396192,146706415,7,,
2021,146392209,146701670,7,1,
2021,146392207,146701667,4,,
2021,146392236,146701699,1,,
2021,146396085,146706267,7,,
2021,146396272,146706525,7,,
2021,146392981,146702602,7,1,
2021,146392287,146701761,7,,
2021,146392250,146701717,7,,
2021,146392216,146701679,4,,
2021,146392272,146701742,7,,
2021,146392388,146701874,7,1,
2021,146392651,146702199,7,,
2021,146392771,146702352,4,,
2021,146392772,146702352,7,,
2021,146393140,146702789,7,,
2021,146396287,146706545,7,,
2021,146396241,146706485,7,1,
2021,146392302,146701778,7,,
2021,146392122,146701562,4,,
2021,146392846,146702443,7,,
2021,146395709,146705815,7,,
2021,146392410,146701898,7,,
2021,143167480,142965186,7,,
2021,146392100,146701536,7,,
2021,146392696,146702259,1,,
2021,146392183,146701641,7,,
2021,146392028,146701447,7,,
2021,146392032,146701452,4,,
2021,146392733,146702305,7,,
2021,146392355,146701838,4,,
2021,146392417,146701907,4,,
2021,146396327,146706593,4,,
2021,146392360,146701846,7,,
2021,146392486,146701986,7,,
2021,146392567,146702098,7,,
2021,146392231,146701696,4,,
2021,146392232,146701696,7,,
2021,146392067,146701489,7,,
2021,146393491,146703192,4,,
2021,146392150,146701599,7,,
2021,146392045,146701467,7,,
2021,146396387,146706678,4,,
2021,146396388,146706678,7,,
2021,146393904,146703677,4,,
2021,146396159,146706375,4,,
2021,146396448,146706749,7,,
2021,146392687,146702250,7,,
2021,146392478,146701978,7,1,
2021,146392875,146702481,4,,
2021,143167441,142965143,7,,
2021,146392872,146702475,4,,
2021,146392660,146702210,4,,
2021,146392661,146702210,7,,
2021,146392832,146702425,4,,
2021,146392876,146702482,7,,
2021,146392462,146701960,7,,
2021,146392782,146702362,4,,
2021,146392766,146702347,7,,
2021,146392828,146702418,7,1,
2021,146392674,146702228,7,,
2021,146393875,146703648,7,,
2021,146392780,146702360,7,,
2021,146392689,146702252,7,1,
2021,146393834,146703600,7,,
2021,146392842,146702439,4,,
2021,146392458,146701955,1,,
2021,146392494,146701994,7,,
2021,146392698,146702261,7,,
2021,146393235,146702905,4,,
2021,146392620,146702163,4,,
2021,146392775,146702355,1,,
2021,146392528,146702043,7,1,
2021,146392893,146702501,4,,
2021,146392907,146702515,7,,
2021,146392454,146701950,4,,
2021,144472113,144485734,7,1,
2021,146392963,146702584,4,,
2021,143167656,142965401,4,,
2021,143167657,142965401,7,,
2021,146392866,146702470,4,,
2021,146396130,146706335,4,,
2021,146392645,146702192,4,,
2021,150016225,150921213,7,,
2021,146392550,146702073,4,,
2021,146393432,146703130,7,,
2021,146392692,146702256,4,,
2021,146396166,146706385,6,,
2021,146392656,146702206,4,,
2021,146392849,146702447,4,,
2021,146392633,146702176,7,,
2021,146392522,146702035,4,,
2021,146392631,146702174,7,,
2021,146396021,146706192,4,,
2021,146392867,146702471,4,,
2021,143167352,142965032,7,,
2021,146392730,146702302,7,,
2021,144471651,144485214,4,,
2021,146393453,146703154,4,,
2021,146392896,146702505,4,,
2021,146392897,146702505,5,,
2021,146392898,146702505,7,,
2021,146392657,146702207,4,,
2021,146392688,146702251,4,,
2021,146392513,146702022,7,,
2021,146392802,146702387,4,,
2021,146394136,146703949,1,,
2021,146392765,146702346,7,,
2021,146396299,146706557,7,,
2021,146392485,146701985,4,,
2021,146392571,146702102,4,,
2021,146392572,146702102,7,,
2021,145297029,145432566,7,,
2021,146393597,146703314,4,,
2021,146393662,146703391,1,,
2021,145297507,145433140,4,,
2021,146396249,146706495,7,1,
2021,146392606,146702143,4,,
2021,146392881,146702490,4,,
2021,146396185,146706409,7,,
2021,146393581,146703291,7,,
2021,146392835,146702430,4,,
2021,146392836,146702430,7,,
2021,146392418,146701909,4,,
2021,146392419,146701909,7,,
2021,146392758,146702334,4,,
2021,146392598,146702132,1,,
2021,146392503,146702006,4,,
2021,146396077,146706253,4,,
2021,146392890,146702498,7,,
2021,145297292,145432878,7,,
2021,146392932,146702544,7,,
2021,146392425,146701919,7,1,
2021,146393687,146703423,7,,
2021,146392718,146702283,7,1,
2021,146393746,146703497,4,,
2021,146392584,146702115,7,,
2021,146392548,146702070,4,,
2021,146393806,146703568,7,1,
2021,146392616,146702157,7,,
2021,150016912,150922054,4,,
2021,144471578,144485132,7,,
2021,146392918,146702531,4,,
2021,150016144,150921126,7,,
2021,143167284,142964949,4,,
2021,146394107,146703919,7,,
2021,145296947,145432466,7,,
2021,146392618,146702160,7,,
2021,144471736,144485305,7,1,
2021,143167552,142965274,4,,
2021,143167553,142965274,7,,
2021,146392857,146702457,7,,
2021,146392466,146701964,7,,
2021,145297445,145433062,7,,
2021,146392769,146702351,4,,
2021,146392770,146702351,7,,
2021,146392421,146701912,6,,
2021,146392783,146702361,7,,
2021,145297125,145432689,1,,
2021,146396123,146706325,7,,
2021,146392883,146702491,7,,
2021,146393248,146702921,4,,
2021,150016396,150921401,4,,
2021,144471229,144484766,4,,
2021,146392654,146702203,7,1,
2021,146392911,146702520,4,,
2021,146392912,146702520,7,,
2021,146392831,146702424,7,,
2021,148833530,149542754,4,,
2021,146396419,146706710,1,,
2021,146396248,146706494,7,,
2021,146392672,146702226,7,,
2021,146392403,146701891,7,,
2021,146392934,146702546,4,,
2021,146392467,146701966,7,1,
2021,146394399,146704243,7,,
2021,146393698,146703442,7,,
2021,146392701,146702265,7,,
2021,146392507,146702014,5,,
2021,146393191,146702853,7,,
2021,148833984,149543199,4,,
2021,146392592,146702126,4,,
2021,146392877,146702483,7,,
2021,146392908,146702516,4,,
2021,146392909,146702516,7,,
2021,146392613,146702152,7,,
2021,146396194,146706417,7,,
2021,146392518,146702029,4,,
2021,146396082,146706261,7,,
2021,146392712,146702277,4,,
2021,146396215,146706453,7,,
2021,146392858,146702459,4,,
2021,145296936,145432453,4,,
2021,145296937,145432453,7,,
2021,146392531,146702047,7,,
2021,146392557,146702082,4,,
2021,146392958,146702578,7,,
2021,146392833,146702427,7,1,
2021,150016348,150921346,1,,
2021,146392524,146702038,6,,
2021,143167704,142965456,1,,
2021,146392781,146702363,7,,
2021,144471207,144484742,4,,
2021,146392646,146702193,7,,
2021,146393451,146703151,4,,
2021,146392593,146702128,4,,
2021,146392534,146702050,4,,
2021,146392863,146702463,7,,
2021,146392560,146702087,7,,
2021,146393689,146703429,7,1,
2021,146392741,146702312,4,,
2021,146392889,146702497,7,1,
2021,146392488,146701988,7,,
2021,146392704,146702267,7,1,
2021,146392628,146702171,4,,
2021,146392629,146702171,7,,
2021,146392563,146702094,4,,
2021,145297210,145432789,7,,
2021,146392506,146702013,7,,
2021,146396304,146706562,5,,
2021,144471720,144485289,7,1,
2021,146392535,146702053,4,,
2021,146392504,146702007,4,,
2021,144471227,144484763,7,,
2021,146392590,146702123,7,,
2021,146392553,146702078,7,1,
2021,146392541,146702061,4,,
2021,144471706,144485275,4,,
2021,146393292,146702970,7,,
2021,146392843,146702440,1,,
2021,144471534,144485091,7,1,
2021,146393230,146702900,4,,
2021,146396292,146706551,4,,
2021,146396240,146706482,4,,
2021,146396340,146706610,7,,
2021,146392648,146702195,4,,
2021,146395758,146705890,4,,
2021,146392638,146702185,4,,
2021,146392665,146702217,7,,
2021,146392806,146702393,7,,
2021,143167609,142965341,4,,
2021,146392570,146702101,4,,
2021,146392523,146702037,4,,
2021,146392677,146702237,4,,
2021,146396430,146706727,7,,
2021,146392745,146702318,7,,
2021,146392920,146702533,4,,
2021,146392921,146702533,7,,
2021,146392395,146701880,1,,
2021,146396133,146706342,7,,
2021,146392887,146702495,4,,
2021,146392888,146702495,7,,
2021,146396175,146706395,4,,
2021,146393879,146703652,4,,
2021,146393880,146703652,7,,
2021,144471727,144485295,7,,
2021,148833564,149542793,1,,
2021,146392526,146702042,4,,
2021,146392527,146702042,7,,
2021,146396025,146706195,7,,
2021,146392786,146702367,7,,
2021,146392767,146702349,7,,
2021,146392617,146702158,7,1,
2021,146396200,146706433,7,,
2021,146392585,146702116,4,,
2021,146392394,146701879,7,,
2021,145297175,145432749,4,,
2021,146396098,146706289,7,,
2021,143167451,142965156,4,,
2021,143167452,142965156,7,,
2021,146392700,146702264,4,,
2021,146392894,146702502,7,1,
2021,146392878,146702484,4,,
2021,146392879,146702484,7,,
2021,146393003,146702633,1,,
2021,146393605,146703324,4,,
2021,146392776,146702356,4,,
2021,146392496,146701996,7,,
2021,146392632,146702175,4,,
2021,146392600,146702135,7,,
2021,144471714,144485284,4,,
2021,144471715,144485284,7,,
2021,146393488,146703190,4,,
2021,146396022,146706193,7,,
2021,146396256,146706504,7,,
2021,145297231,145432809,4,,
2021,145297232,145432809,7,,
2021,146392789,146702370,7,1,
2021,143167710,142965466,4,,
2021,143167711,142965466,7,,
2021,146392588,146702120,4,,
2021,146392384,146701870,4,,
2021,146392385,146701870,7,,
2021,146396060,146706232,7,,
2021,146396282,146706541,4,,
2021,146396283,146706541,7,,
2021,146394184,146704006,7,1,
2021,146392533,146702049,4,,
2021,146396433,146706732,7,,
2021,146393656,146703385,4,,
2021,146393657,146703385,7,,
2021,150016201,150921185,7,1,
2021,146394291,146704126,4,,
2021,146393547,146703253,7,,
2021,144471503,144485057,4,,
2021,146393446,146703146,4,,
2021,146396140,146706350,4,,
2021,146396141,146706350,7,,
2021,146396339,146706604,7,,
2021,146396309,146706568,7,,
2021,146396322,146706583,7,,
2021,146392484,146701984,4,,
2021,146393665,146703397,4,,
2021,146392622,146702165,7,,
2021,146392546,146702068,7,,
2021,146396325,146706590,7,,
2021,146393138,146702787,4,,
2021,146393139,146702787,7,,
2021,146396065,146706240,4,,
2021,144471378,144484926,4,,
2021,146396324,146706586,4,,
2021,146392902,146702512,7,,
2021,144471538,144485096,4,,
2021,144471539,144485096,7,,
2021,146392737,146702310,7,,
2021,150016337,150921336,7,,
2021,146392699,146702262,7,,
2021,146396354,146706630,6,,
2021,146392671,146702225,7,1,
2021,146393356,146703049,4,,
2021,146392515,146702024,7,1,
2021,146392794,146702377,4,,
2021,146392545,146702067,4,,
2021,146393277,146702957,7,,
2021,146392845,146702442,7,,
2021,146393001,146702631,4,,
2021,146392891,146702499,7,,
2021,146392424,146701918,7,,
2021,146396295,146706554,7,,
2021,146392575,146702108,4,,
2021,146392817,146702405,7,,
2021,146392427,146701921,7,,
2021,146392434,146701930,5,,1
2021,146392435,146701930,7,1,
2021,146392693,146702257,4,,
2021,146396320,146706580,4,,
2021,146396321,146706580,7,,
2021,146392715,146702280,7,,
2021,146392547,146702069,7,,
2021,146392964,146702585,7,,
2021,144471140,144484669,7,1,
2021,150016279,150921270,1,,
2021,146396476,146706792,6,,
2021,146393655,146703384,7,1,
2021,146396213,146706451,7,1,
2021,150016405,150921415,7,,
2021,146392460,146701958,4,,
2021,146392864,146702466,7,,
2021,146393216,146702881,7,,
2021,146392787,146702368,5,,
2021,146392788,146702368,7,,
2021,145297387,145432987,4,,
2021,143167813,142965595,4,,
2021,143167814,142965595,7,,
2021,146396204,146706438,7,,
2021,146392707,146702272,4,,
2021,146392649,146702196,7,1,
2021,146396399,146706686,7,,
2021,146392603,146702139,7,,
2021,146396089,146706271,7,,
2021,146393770,146703530,4,,
2021,146393771,146703530,7,,
2021,146396105,146706298,7,,
2021,146392717,146702282,7,1,
2021,146392747,146702320,4,,
2021,146392652,146702200,7,1,
