data_year,nibrs_month_id,agency_id,month_num,inc_data_year,reported_status,report_date,update_flag,orig_format,data_home,ddocname,did,month_pub_status
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107425_INC,122043157,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107437_INC,122043255,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107441_INC,122043752,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107443_INC,122056131,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107446_INC,122043350,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107455_INC,122043297,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107472_INC,119208444,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107473_INC,122043381,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107475_INC,122043575,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107477_INC,122044229,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107480_INC,122043197,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107484_INC,122043605,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107491_INC,122043256,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107493_INC,122043533,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107495_INC,122043582,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107496_INC,122043364,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107497_INC,122043889,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107505_INC,122043113,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107508_INC,122043156,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107509_INC,122043397,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107518_INC,122049422,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107522_INC,122043674,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107524_INC,122043767,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107532_INC,119209497,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107533_INC,113600379,
2021,40337129,2243,8,2021,I,2021-08-02,,F,,2021_08_DCMPD0000_21107545_INC,122055243,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107547_INC,122043944,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107556_INC,122044006,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107557_INC,122055532,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107562_INC,122056130,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107566_INC,122043308,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107567_INC,113600036,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107569_INC,122043288,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107570_INC,122055582,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107572_INC,122043214,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107577_INC,122056124,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107578_INC,122043294,
