data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,146402500,63,50,,
2021,148837351,63,1,,
2021,146402766,3,1,,
2021,146402657,16,1,,
2021,146402584,6,1,,
2021,146402584,9,0,,
2021,146402584,25,2,,
2021,146402584,51,0,,
2021,146402584,60,2001,,
2021,146402584,61,1470,,
2021,146402571,63,500,,
2021,146402593,3,1,,
2021,146402463,38,400,,
2021,146402478,42,101,,
2021,146402626,3,2,,
2021,146402689,63,100,,
2021,146402650,3,1,,
2021,146402566,61,455,,
2021,148837417,3,1,,
2021,148837418,7,3000,,
2021,148837418,9,0,,
2021,148837418,25,2500,,
2021,146402431,25,4000,,
2021,146402441,9,0,,
2021,146402441,51,0,,
2021,146402441,61,1,,
2021,148837808,3,1,,
2021,148837808,38,1,,
2021,148837809,20,100,,
2021,148837809,25,1400,,
2021,146402319,6,300,,
2021,146402319,25,50,,
2021,146402319,61,400,,
2021,146402319,63,200,,
2021,146402773,3,1,,
2021,148837628,38,250,,
2021,148837629,7,800,,
2021,148837629,9,0,,
2021,148837629,25,210,,
2021,146402653,20,200,,
2021,146402653,61,1,,
2021,146402559,31,1,,
2021,146402256,61,800,,
2021,146402732,28,13486,,
2021,148837546,20,1317,,
2021,146402702,47,0,,
2021,146402811,20,6000,,
2021,146402677,63,1,,
2021,150016724,16,1,,
2021,146402400,16,1000,,
2021,146402400,61,1000,,
2021,146402400,63,1,,
2021,146402586,3,1,,
2021,146402586,38,250,,
2021,146402587,6,200,,
2021,146402349,3,1,,
2021,146402349,38,500,,
2021,146402350,20,20,,
2021,146402550,63,1,,
2021,146402551,63,4,,
2021,146402891,7,1,,
2021,146402892,7,1,,
2021,146402605,63,1,,
2021,146402606,63,1,,
2021,146402633,52,0,,
2021,146402603,63,1,,
2021,148837621,4,2000,,
2021,146402696,9,0,,
2021,146402515,3,1,,
2021,146402515,38,1,,
2021,146402582,3,5000,,
2021,148837428,52,0,,
2021,146402237,63,89,,
2021,148837579,6,1,,
2021,148837580,25,1,,
2021,148837580,63,3,,
2021,146402449,3,1,,
2021,146402449,38,250,,
2021,146402450,6,750,,
2021,146402450,25,1000,,
2021,146402450,61,1020,,
2021,146402450,63,13,,
2021,146402844,3,2,,
2021,146402322,20,400,,
2021,146402648,43,500,,
2021,146402194,3,1,,
2021,146402194,38,1000,,
2021,146402195,36,5115,,
2021,148837678,61,400,,
2021,146402375,25,60,,
2021,148837648,3,1,,
2021,146402394,20,380,,
2021,148837884,29,1,,
2021,146402325,61,200,,
2021,146402416,3,1,,
2021,146402416,38,200,,
2021,146402417,47,0,,
2021,148837667,3,1,,
2021,146402496,63,800,,
2021,146402509,63,16,,
2021,146402372,3,1,2021-12-26,
2021,146402373,3,1,,
2021,146402957,29,1,,
2021,146402418,3,1,,
2021,146402631,16,1,,
2021,146402253,63,2,,
2021,146402374,9,0,,
2021,146402374,20,15,,
2021,146402374,25,1,,
2021,146402374,51,0,,
2021,146402374,63,1,,
2021,148838102,9,0,,
2021,148838102,17,1700,,
2021,148838102,19,1050,,
2021,148838102,20,10,,
2021,148838102,61,600,,
2021,146402759,3,1,,
2021,148837471,3,1,,
2021,146402447,20,280,,
2021,146402447,25,50,,
2021,146402447,56,500,,
2021,146402663,3,200,,
2021,146402663,38,200,,
2021,146402664,63,5,,
2021,146402879,9,0,,
2021,146402879,25,25,,
2021,146402879,63,602,,
2021,146402405,6,81,,
2021,146402405,20,40,,
2021,146402405,63,1,,
2021,146402646,30,3,,
2021,146402561,63,675,,
2021,146402390,3,1,,
2021,146402390,38,800,,
2021,146402391,6,30,,
2021,146402391,25,40,,
2021,146402391,36,80,,
2021,146402391,62,50,,
2021,146402848,3,1,2021-12-26,
2021,146402849,3,1,,
2021,146402358,35,500,,
2021,146402517,3,1,,
2021,146402517,38,1,,
2021,146402518,20,100,,
2021,148837762,24,1,,
2021,148837762,38,100,,
2021,148837763,9,0,,
2021,148837763,25,30,,
2021,148837763,51,0,,
2021,148837763,63,2,,
2021,146402332,63,200,,
2021,146402420,38,400,,
2021,146402421,6,200,,
2021,146402421,9,0,,
2021,146402421,20,50,,
2021,146402421,25,30,,
2021,146402421,63,30,,
2021,146402379,63,1,,
2021,146402616,63,15,,
2021,148837754,16,118,,
2021,146402578,38,50,,
2021,146402883,3,1,,
2021,146402883,38,2,,
2021,148837449,63,1,,
2021,146402503,63,1,,
2021,146402504,63,10,,
2021,146402908,61,100,,
2021,146402223,3,1800,,
2021,146402403,47,0,,
2021,146402916,63,1,,
2021,146402726,38,500,,
2021,146402287,8,1,,
2021,146402199,63,2200,,
2021,146402924,63,150,,
2021,146402762,3,1,,
2021,146402762,38,250,,
2021,146402763,6,150,,
2021,146402763,19,300,,
2021,146402763,25,200,,
2021,146402590,3,1,,
2021,146402437,63,126,,
2021,146402507,63,2,,
2021,146402614,3,500,,
2021,146402877,3,1,,
2021,146402877,38,200,,
2021,146402850,63,189,,
2021,148837615,20,400,,
2021,148837615,61,1000,,
2021,146402406,38,500,,
2021,146402725,3,1,,
2021,146402725,63,1,,
2021,146402824,34,5,,
2021,146402825,6,40,,
2021,146402825,9,0,,
2021,146402825,25,25,,
2021,146402825,51,0,,
2021,146402583,9,0,,
2021,146402583,25,20,,
2021,146402583,51,0,,
2021,146402232,6,1,,
2021,146402232,17,2,,
2021,146402232,61,1,,
2021,146402538,63,600,,
2021,146402376,52,0,,
2021,146402268,14,2,,
2021,146402268,20,605,,
2021,146402224,47,0,,
2021,146402775,10,,,
2021,146402685,3,1,,
2021,146402685,38,200,,
2021,146402686,6,300,,
2021,146402686,36,100,,
2021,146402686,63,150,,
2021,148837739,10,,,
2021,150016478,8,50,,
2021,146402644,3,1,,
2021,146402644,38,200,,
2021,146402645,9,0,,
2021,146402645,20,1000,,
2021,146402645,63,100,,
2021,148837706,63,262,,
2021,146402225,3,1,,
2021,146402225,5,1,,
2021,146402768,31,1,,
2021,148837955,3,1,,
2021,146402438,8,1,,
2021,146402438,36,15,,
2021,146402438,44,10,,
2021,146402833,3,1,,
2021,146402833,38,300,,
2021,148837332,3,1,,
2021,146402750,3,1,,
2021,150016738,35,1500,,
2021,148837573,6,200,,
2021,148837573,25,3150,,
2021,146402748,3,2,,
2021,146402567,3,1,,
2021,146402266,3,1,,
2021,146402577,19,30,,
2021,146402577,63,20,,
2021,146402840,47,0,,
2021,146402840,51,0,,
2021,146402840,61,1600,,
2021,146402840,63,50,,
2021,146402675,3,200,,
2021,146402675,38,200,,
2021,146402484,35,1,,
2021,146402547,33,1000,,
2021,146402676,4,200,,
2021,146402676,61,700,,
2021,146402676,63,3,,
2021,146402312,38,1,,
