data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2021,2243,145433753,40354692,f,2021-12-07 11:08:08.979,2021-10-21,f,11,6,,ACCEPTED,,F,119209812
2021,2243,149545383,40364000,f,2022-02-28 11:56:00.6,2021-11-01,f,9,6,,ACCEPTED,,F,129296648
2021,2243,145435004,40354692,f,2021-12-07 11:08:18.798,2021-10-18,f,0,6,,ACCEPTED,,F,119211870
2021,2243,145432932,40364000,f,2021-12-07 11:08:00.642,2021-11-01,f,13,6,,ACCEPTED,,F,119208693
2021,2243,145433044,40337130,f,2021-12-07 11:08:01.919,2021-09-15,f,10,6,,ACCEPTED,,F,119208855
2021,2243,145433427,40364000,f,2021-12-07 11:08:06.378,2021-11-01,f,13,6,,ACCEPTED,,F,119209392
2021,2243,145433080,40364000,f,2021-12-07 11:08:02.327,2021-11-02,f,9,6,,ACCEPTED,,F,119208910
2021,2243,145432979,40364000,f,2021-12-07 11:08:01.305,2021-11-01,t,16,6,,ACCEPTED,,F,119208768
2021,2243,149544438,40364000,f,2022-02-28 11:55:53.769,2021-11-02,f,9,6,,ACCEPTED,,F,129295495
2021,2243,145433690,40354692,f,2021-12-07 11:08:08.536,2021-10-31,f,18,6,,ACCEPTED,,F,119209720
2021,2243,145434276,40364000,f,2021-12-07 11:08:13.304,2021-11-02,f,10,6,,ACCEPTED,,F,119210599
2021,2243,149544638,40364000,f,2022-02-28 11:55:55.334,2021-11-02,f,8,6,,ACCEPTED,,F,129295774
2021,2243,149544196,40364000,f,2022-02-28 11:55:51.467,2021-11-02,f,10,6,,ACCEPTED,,F,129295087
2021,2243,145433851,40364000,f,2021-12-07 11:08:09.723,2021-11-02,f,10,6,,ACCEPTED,,F,119209933
2021,2243,146708897,40364000,f,2022-01-07 20:01:14.215,2021-11-02,f,8,6,,ACCEPTED,,F,122059545
2021,2243,145433644,40364000,f,2021-12-07 11:08:08.124,2021-11-02,f,10,6,,ACCEPTED,,F,119209660
2021,2243,145433234,40364000,f,2021-12-07 11:08:04.295,2021-11-01,f,0,6,,ACCEPTED,,F,119209138
2021,2243,145433133,40354692,f,2021-12-07 11:08:03.039,2021-10-31,f,10,6,,ACCEPTED,,F,119208991
2021,2243,146709227,40354692,f,2022-01-07 20:01:16.575,2021-10-30,f,17,6,,ACCEPTED,,F,122060005
2021,2243,146708878,40364000,f,2022-01-07 20:01:14.101,2021-11-01,f,9,6,,ACCEPTED,,F,122059518
2021,2243,145433378,40364000,f,2021-12-07 11:08:05.937,2021-11-02,f,10,6,,ACCEPTED,,F,119209330
2021,2243,145433025,40364000,f,2021-12-07 11:08:01.685,2021-11-02,f,10,6,,ACCEPTED,,F,119208824
2021,2243,145433151,40337129,f,2021-12-07 11:08:03.399,2021-08-15,f,11,6,,ACCEPTED,,F,119209021
2021,2243,145433750,40364000,f,2021-12-07 11:08:08.971,2021-11-02,f,10,6,,ACCEPTED,,F,119209809
2021,2243,145433326,40364000,f,2021-12-07 11:08:05.398,2021-11-02,f,10,6,,ACCEPTED,,F,119209268
2021,2243,146709256,40364000,f,2022-01-07 20:01:16.79,2021-11-01,f,17,6,,ACCEPTED,,F,122060047
2021,2243,145433462,40364000,f,2021-12-07 11:08:06.545,2021-11-02,f,11,6,,ACCEPTED,,F,119209420
2021,2243,146709299,40364000,f,2022-01-07 20:01:17.295,2021-11-01,f,0,6,,ACCEPTED,,F,122060104
2021,2243,145433069,40364000,f,2021-12-07 11:08:02.206,2021-11-01,f,16,6,,ACCEPTED,,F,119208894
2021,2243,145433019,40364000,f,2021-12-07 11:08:01.599,2021-11-01,f,19,6,,ACCEPTED,,F,119208817
2021,2243,145433129,40354692,f,2021-12-07 11:08:02.947,2021-10-31,f,10,6,,ACCEPTED,,F,119208980
2021,2243,145433029,40354692,f,2021-12-07 11:08:01.737,2021-10-10,f,22,6,,ACCEPTED,,F,119208831
